-0.00513109+0.000731038j, 0.00179609-0.001759j, 0.00690523+0.00199195j, 0.0126951+0.00236644j, 0.013381+0.000705555j, 0.0127223-0.0102678j, 0.000662283-0.017678j, -0.0120512-0.00875264j, -0.0186421+0.00700915j, -0.0185799+0.0214644j, -0.00771402+0.0214148j, 0.00235868+0.0136285j, 0.0037259+0.013308j, -0.00692838+0.0152076j, -0.0189941+0.015939j, -0.0223201+0.0123761j, -0.013335+0.00880922j, -0.00225347-0.00398387j, 0.00775743-0.0159662j, 0.00876552-0.0283378j, 0.00187868-0.0332119j, 4.67055e-06-0.0332668j, -0.00190032-0.025572j, -0.00272646-0.0110697j, -0.00501548+0.00160667j, -0.00852808+0.000190492j, -0.00880394-0.0140309j, -0.00699061-0.0299974j, -0.0137272-0.0360345j, -0.0176511-0.0278847j, -0.0199251-0.0219813j, -0.0182353-0.0223158j, -0.0154492-0.0181231j, -0.0104364-0.0148667j, -0.00596186-0.011369j, -0.00264603-0.0080718j, -0.000849122-0.0110793j, 0.000977859-0.0198499j, 0.00122021-0.0268283j, 0.00336919-0.0272771j, -0.000584486-0.0208686j, -0.00495188-0.012612j, -0.00416589-0.00372319j, 0.00226489+0.00136337j, 0.00538475+0.0135636j, 0.00152819+0.0220007j, -0.00129823+0.0190353j, -0.00493906+0.0118039j, 0.000544673-0.00276003j, 0.0075716-0.00945881j, 0.00327752-0.0159849j, -0.00470136-0.0146364j, -0.0161029-0.0153086j, -0.0236143-0.00843267j, -0.0324608+0.00539843j, -0.0318764+0.0208628j, -0.0285733+0.0240734j, -0.0207691+0.0208631j, -0.00669975+0.017661j, 0.0140144+0.0126236j, 0.0204769+0.0107387j, 0.0184958+0.00575356j, 0.0144461-0.0024523j, 0.0101153-0.0136729j, 0.00540413-0.0161808j, -0.00141332-0.00459745j, -0.002947+0.0065232j, -0.00769543+0.0168588j, -0.00702152+0.0157913j, -0.00482785+0.00808343j, -0.00346293+0.00295095j, -0.00246168-0.00297514j, -0.00443402-0.00479107j, -0.00517656-0.00506829j, -0.0036162-0.00333877j, -0.00130718-0.00130405j, 0.00338112+0.00200583j, 0.00409263+0.00511398j, 0.0055659+0.00399891j, 0.00229159+0.00159036j, 0.000531908-0.000265874j, -0.00250826-0.000746825j, -0.0029213+0.00125325j, -0.00867969+0.0015149j, -0.00785992-0.00129358j, -0.00683035-0.00122725j, -0.00506848-0.00282766j, -0.0062999+0.00097626j, -0.00887986+0.002519j, -0.0124793+0.0100546j, -0.00676638+0.0121884j, 0.00224056+0.0126441j, 0.0104389+0.0077702j, 0.013335+0.00364059j, 0.0128965-0.00778996j, 0.00251717-0.0118371j, -0.0037034-0.00776374j, -0.00745376+0.00941309j, -0.00288743+0.0268292j, 0.0153097+0.0383995j, 0.034015+0.0289841j, 0.0413181+0.0174627j, 0.0397671+0.000110843j, 0.0241753-0.0190323j, 0.000265657-0.0242394j, -0.0110771-0.017904j, -0.0138084-0.00780512j, -0.0103556+0.00431449j, -0.0027471+0.0125565j, -0.00443977+0.0147961j, -0.0100308+0.0148923j, -0.0198778+0.00851238j, -0.0156205+0.0058674j, -0.0131768+0.00696326j, -0.00746803+0.00905587j, -0.00827815+0.0147832j, -0.0064829+0.0137711j, -0.00526624+0.00754809j, -0.00525852+0.0011622j, -0.00788707+0.00133742j, -0.0136718+0.00559834j, -0.0145466+0.00904426j, -0.00925142+0.0120341j, -0.00154297+0.00472029j, 0.00677636-0.00622631j, 0.0101604-0.0176148j, 0.00293389-0.0177548j, -0.00775688-0.0123014j, -0.0107522-0.00970779j, -0.00496018-0.00296975j, 0.00354171+0.00104114j, 0.00533659-0.00132263j, 0.00194062-0.00168815j, 0.00165308-0.00259923j, 0.00103367+0.00112491j, 0.00849512+0.00575467j, 0.0144475+0.011488j, 0.014615+0.0115015j, 0.0130082+0.00409209j, 0.00724407-0.00497629j, -0.00030341-0.00461753j, -0.00633124+0.00407399j, -0.00864485+0.0132764j, -0.00208582+0.0181448j, 0.00716333+0.0184056j, 0.0104017+0.0161136j, 0.00900113+0.0153395j, 0.00773502+0.00943814j, 0.000642729+0.00264057j, -0.00185156+0.00295463j, -0.00312823+0.00411877j, -0.00233911+0.000992147j, 0.00403885-0.00483467j, 0.00898134-0.00894129j, 0.0178092-0.0108062j, 0.0211564-0.0102341j, 0.016258-0.0144319j, 0.00850054-0.0135265j, 0.00463766-0.0132744j, 0.000737797-0.00634166j, -0.000894017-0.0043838j, -0.00502359-0.00346091j, -0.00820509-0.00310278j, -0.00748092-0.0058474j, -0.00446608-0.00443215j, 0.00220537-0.00620103j, 0.00544339-0.00703666j, 0.00617399-0.00614936j, 0.00114473-0.00144425j, -0.00412732+0.00560203j, -0.00564784+0.0123274j, -0.00130096+0.0141949j, 0.00381091+0.0159107j, 0.00691762+0.0147803j, 0.00640668+0.0080736j, -0.000293716+5.22707e-05j, -0.00643955-0.00236709j, -0.00825102-0.00257473j, -0.00467561+0.0044615j, 0.00103967+0.00178344j, 0.00674304-0.000377161j, 0.00792862-0.00661261j, 0.00407956-0.00953653j, -0.00276257-0.0113267j, -0.00891715-0.00771502j, -0.0119192-0.00716421j, -0.0118339-0.0103693j, -0.00709546-0.00416429j, -0.00394811+0.0065676j, -0.00149015+0.0144262j, 0.0012633+0.0187573j, 0.0105973+0.0113476j, 0.014335-0.00429611j, 0.0150351-0.0115343j, 0.0129746-0.012765j, 0.00747358-0.0117357j, -0.00143035-0.004199j, -0.00199758-0.00026945j, -0.00112971+0.00327318j, -0.00102294+0.003883j, -0.0033859-0.000266399j, -0.00343797+0.00138383j, -0.000364178+0.0066601j, 0.00382841+0.0141663j, 0.00527109+0.0175087j, 0.00623293+0.0122167j, 0.00533071+0.00503786j, 0.00645303+0.00183576j, 0.0088137+0.004385j, 0.00775279+0.0113054j, 0.00469524+0.0128286j, 0.000639339+0.0106787j, -0.00309449+0.0101871j, -0.0033229+0.0102376j, -0.00229789+0.00840152j, -0.00516035+0.00841359j, -0.00631612+0.00552339j, -0.00447224+0.00307927j, -0.00161672-0.00499147j, -0.000558346-0.0135473j, 0.00129883-0.0150364j, -3.37874e-05-0.0101696j, -0.00469881-0.00746507j, -0.0129559-0.00166819j, -0.0131384+0.000720087j, -0.0137936-0.00437035j, -0.00958893-0.00400697j, 0.00319642+0.00161023j, 0.0130844+0.00999539j, 0.0152728+0.0118748j, 0.00669158+0.00907468j, -0.00573105+0.00177465j, -0.0121837-0.00292139j, -0.0141215-0.00689617j, -0.014017-0.00917454j, -0.0104963-0.00303352j, -0.00170962+0.0035866j, 0.00642034+0.0042133j, 0.00640209+0.00312747j, 0.00118033+0.000798816j, -0.00383886-0.000570725j, -0.00776888+0.000208239j, -0.0117905+0.0020568j, -0.00820462+0.0025472j, -0.00166281-0.00334978j, -0.000848568-0.00492132j, -0.00357292-0.00138335j, -0.0134848+0.00220055j, -0.0200637+0.00283705j, -0.026987-0.00173934j, -0.0258849-0.00918842j, -0.0160923-0.0149939j, -0.00719188-0.00520231j, 0.00892885+0.0231931j, 0.0220533+0.0304285j, 0.021343+0.0217473j
0.00922422-0.0158786j, 0.0260613-0.0240218j, 0.0316704-0.0158471j, 0.0318395-0.00185466j, 0.0255658+0.0049024j, 0.0236533-0.00249476j, 0.00919426-0.00909728j, -0.00847382+0.00343384j, -0.0218292+0.0185087j, -0.0238895+0.0283016j, -9.75204e-05+0.0268399j, 0.0105315+0.00878129j, 0.00732189+0.00596654j, -0.010277+0.00725473j, -0.0366069+0.00944286j, -0.0419893+0.0165717j, -0.0364015+0.00867728j, -0.022934-0.000536596j, -0.00505113-0.0114502j, 0.00440843-0.0206384j, 0.00647962-0.0342335j, 0.00654312-0.0441313j, 0.00801036-0.048826j, -0.00730636-0.0378851j, -0.0230013-0.013138j, -0.0317365-0.00637299j, -0.0368526-0.0188249j, -0.0346525-0.0395736j, -0.0362405-0.0438226j, -0.0331015-0.0422773j, -0.0342026-0.0423648j, -0.0362518-0.0462085j, -0.0363221-0.0368523j, -0.01925-0.0233984j, -0.0049698-0.0168679j, -0.00161869-0.018763j, -0.0040235-0.0318589j, -0.00722787-0.0411572j, -0.0044201-0.0435273j, -0.00282115-0.0353643j, -0.00885779-0.0254225j, -0.0195638-0.0124151j, -0.0122593-0.00192829j, 0.000353543+0.00392672j, 0.0116139+0.0166937j, 0.00980328+0.0320059j, 0.00457161+0.0246573j, 0.000212138+0.0101797j, 0.00849929-0.0110791j, 0.0238757-0.0240358j, 0.0174748-0.034893j, -0.00151098-0.0289187j, -0.0217509-0.0267827j, -0.0368624-0.023829j, -0.0539335-0.00104474j, -0.0420977+0.033337j, -0.0374626+0.0426033j, -0.0280679+0.0391448j, -0.00906586+0.0384464j, 0.0228665+0.0239596j, 0.0315725+0.0155516j, 0.0240068+0.0114843j, 0.0195165-0.00219059j, 0.010375-0.0238083j, -0.0020427-0.0239262j, -0.0069396-0.00461705j, -0.0160477+0.0108046j, -0.0207549+0.029323j, -0.0109511+0.0305629j, 0.00118884+0.0172565j, 0.00731472+0.0087009j, 0.0128219+0.00133261j, 0.0123559-0.00560476j, 0.00727335-0.00628919j, 0.0059809-0.00900165j, 0.00740994-0.0108588j, 0.00468949-0.0112891j, 0.000725278-0.00684973j, -0.00740779-0.00178061j, -0.013957-0.00111228j, -0.0164197+0.00354883j, -0.0140326+0.0116196j, -0.0103611+0.00674387j, -0.0084458+0.00632547j, -0.0060767+0.00251649j, -0.00439128+0.00200575j, 0.000503679+0.00166335j, -9.96547e-05+0.00414685j, -0.00278159+0.00915351j, -0.00506992+0.0183088j, 0.00832529+0.0182812j, 0.0182093+0.0119894j, 0.0292641+0.00233519j, 0.0368082-0.00874035j, 0.0288445-0.0340554j, -0.0042345-0.0348887j, -0.0219544-0.0238679j, -0.0358148-0.00320147j, -0.0384598+0.0372211j, 0.000764237+0.0611685j, 0.0299274+0.0501121j, 0.0478823+0.0332657j, 0.0603419+0.00600741j, 0.0391466-0.0407615j, 0.00283342-0.0465232j, -0.0186735-0.0386652j, -0.0280052-0.0236145j, -0.0337761-0.00101112j, -0.0160568+0.0187626j, -0.0115535+0.0207732j, -0.0105866+0.0154019j, -0.0158638+0.00228792j, -0.0164294-0.00334006j, -0.0134405-0.000136386j, -0.0107573+0.00602258j, -0.0101902+0.0145732j, -0.00619892+0.0170572j, -0.00064462+0.0111375j, -0.00119283+0.0035273j, -0.00729309+0.000900342j, -0.0223727+0.000111917j, -0.029509+0.0111176j, -0.017914+0.00962569j, 0.000495604+0.00424613j, 0.0233189-0.00610432j, 0.0323199-0.024777j, 0.00925902-0.0325416j, -0.00467362-0.0298782j, -0.00853433-0.0250734j, -0.00269031-0.0120338j, 0.00417114+0.000958882j, 0.0110803+0.0037572j, 0.0100934-0.000722742j, 0.011493-0.00585502j, 0.0136548-0.0102256j, 0.0185202-0.00445159j, 0.0240093+0.000743066j, 0.0318696+0.00433411j, 0.033417-0.00963643j, 0.018747-0.02226j, 0.00826146-0.0186359j, 0.00118201-0.00981444j, -0.00197465+0.00678299j, 0.00477185+0.0242848j, 0.0159033+0.0222258j, 0.0203155+0.0180455j, 0.0242667+0.0150539j, 0.0235061+0.00322959j, 0.00928238-0.0071646j, -0.00459268-0.00662219j, -0.0152369-0.00668494j, -0.0212325-0.00244563j, -0.0112786+0.00208809j, 0.00519448-0.000481453j, 0.0204752-0.00630136j, 0.0265008-0.00790788j, 0.0187436-0.0218725j, 0.00202365-0.0172741j, -0.00293316-0.0120203j, -0.00101789-0.00649979j, -0.00279164-0.00449331j, -0.0104355-0.00405194j, -0.0120317-0.00441823j, -0.0131902-0.00578793j, -0.010016-0.00173634j, 0.00386508-0.00617834j, 0.0103809-0.0080683j, 0.00986658-0.00556805j, 0.00656905-0.00258676j, -0.00596578+0.00206662j, -0.00777301+0.00991002j, 0.000612611+0.0158818j, 0.00788698+0.020595j, 0.0131754+0.020684j, 0.0150935+0.00308676j, 0.00288054-0.0043048j, -0.00590286-0.00690424j, -0.0109705-0.00755849j, -0.0109935-0.000643314j, 0.00480915-0.00171297j, 0.0147516+0.00089456j, 0.0202509+0.00206784j, 0.0175148-0.00300706j, 0.00957756-0.0110927j, -0.00594376-0.00981971j, -0.0117292-0.0114703j, -0.0131947-0.018179j, -0.0192916-0.00896823j, -0.015648+0.00774998j, -0.00910801+0.0193936j, -0.00473434+0.0255716j, 0.011568+0.020919j, 0.0253985-0.00446251j, 0.0253273-0.0130592j, 0.0226487-0.0174434j, 0.0180068-0.0210365j, -0.00373351-0.0179293j, -0.00802038-0.00225073j, -0.00797522+0.00510205j, -0.010765+0.00541328j, -0.0151174+0.00814251j, -0.0121707+0.0122262j, -0.0090183+0.0143242j, -0.00236808+0.0189544j, 0.00862204+0.0263927j, 0.0157521+0.0157639j, 0.013058+0.00588415j, 0.013242+0.00111918j, 0.0170543+0.00494583j, 0.0162062+0.00801566j, 0.00814152+0.00701833j, -0.00117984+0.0103482j, -0.00689427+0.00591407j, -0.01037+0.0028885j, -0.00846837+0.00323047j, -0.00340295-0.00281051j, 0.00309704-0.00774453j, 0.00999644-0.017672j, 0.00644961-0.0380116j, -0.00200097-0.0361314j, 0.00227633-0.0274414j, 0.00362039-0.0174495j, -0.00378897-0.00318697j, -0.00654131+0.00420831j, -0.0113415-0.0018407j, -0.0135766-0.00822914j, -0.00971506-0.00925351j, 0.00387164-0.00153018j, 0.0142882+0.0101393j, 0.0156032+0.0148714j, 0.00822969+0.0135485j, 0.000930883+0.00111828j, -0.00882877-0.0128548j, -0.0124751-0.0149405j, -0.00905013-0.00749547j, -0.000260845+0.00848481j, 0.0174277+0.0133324j, 0.0191666+0.00828688j, 0.0134817-0.000822196j, 0.00654974-0.0120294j, -0.0136973-0.0261318j, -0.0265219-0.0139885j, -0.0249565-0.00428111j, -0.0179024-0.00215872j, -0.0072966-0.00977912j, 0.00414228-0.0111926j, 0.00246654-0.014644j, -0.00843186-0.0135027j, -0.0184316-0.0163819j, -0.0350508-0.0175659j, -0.0275509-0.0113186j, -0.0177406-0.0133685j, -0.00666294-0.00136425j, 0.0104725+0.0307209j, 0.0220067+0.0318421j, 0.0148109+0.0194183j
0.0221522-0.0247541j, 0.0414508-0.0429163j, 0.0495528-0.0355987j, 0.043838-0.0128652j, 0.0294305+0.00152664j, 0.01611+0.00837547j, 0.00628876+0.0243418j, 0.000350791+0.039942j, -0.00271764+0.0570028j, 0.00840319+0.0671082j, 0.0368875+0.0414737j, 0.0384449+0.0155936j, 0.0344245+0.00498425j, 0.01907-0.000738804j, -0.0103391-0.00692099j, -0.039349-0.00498734j, -0.0473654-0.00825999j, -0.0497934-0.00914454j, -0.0465518+0.00235765j, -0.0273969+0.0126378j, -0.00809987+0.00084496j, 0.00866603-0.0125054j, 0.0211712-0.02869j, 0.0071219-0.0366055j, -0.0179275-0.02886j, -0.0424852-0.018679j, -0.0666964-0.0204893j, -0.0814877-0.016683j, -0.0660971-0.00995535j, -0.0465169-0.0173149j, -0.035088-0.0213348j, -0.0313893-0.0244026j, -0.0229431-0.0209815j, -0.00285371-0.0213862j, 0.00892887-0.0223192j, 0.00804806-0.031925j, -0.00889615-0.0511976j, -0.0249147-0.0568524j, -0.0218264-0.049095j, -0.0195214-0.0302051j, -0.0198741-0.00539042j, -0.0162895+0.0131876j, -0.00276833+0.00769462j, 0.00813283+0.00212763j, 0.0203815+0.00605271j, 0.0201822+0.00996131j, 0.0110992+0.0070108j, 0.00528636-0.00494961j, 0.0128985-0.0287994j, 0.0268005-0.0500285j, 0.016502-0.0536022j, 0.00122203-0.0381693j, -0.0192025-0.0266204j, -0.0399719-0.0185674j, -0.0477583+0.0108243j, -0.0304033+0.0360504j, -0.0194384+0.0464569j, -0.0104284+0.0474j, 0.0108677+0.0376242j, 0.0270022+0.0176691j, 0.0298725+0.00759808j, 0.0188469+0.00407254j, 0.0058506-0.0111311j, -0.0131541-0.0199898j, -0.0174682-0.0122638j, -0.0165263+0.00354279j, -0.022661+0.0233461j, -0.0191834+0.0382251j, -0.00490649+0.0320662j, 0.00799323+0.0180077j, 0.0206119+0.00658245j, 0.03191-0.000551517j, 0.0287511-0.010475j, 0.0200588-0.0136971j, 0.0129659-0.0189592j, 0.0107933-0.0240674j, 0.00238757-0.0263276j, -0.0113493-0.0155588j, -0.0209138-0.00363199j, -0.0307204+0.00526231j, -0.0338788+0.0198587j, -0.0225827+0.0259457j, -0.00864103+0.0208412j, -0.0020991+0.0158031j, 0.000331714+0.014367j, 0.00829486+0.0096752j, 0.0103402+0.00606768j, 0.0137827+0.0064088j, 0.0118782+0.00731973j, 0.0139035+0.0122856j, 0.0194475+0.00754457j, 0.0256252-3.82025e-05j, 0.0330796-0.0103439j, 0.0368274-0.0292397j, 0.0129532-0.0510109j, -0.0158979-0.0463253j, -0.0346719-0.0294863j, -0.0538973-0.00602768j, -0.0555361+0.0398423j, -0.0229718+0.0592097j, 0.00455867+0.0494266j, 0.0275019+0.0290486j, 0.0459251-0.00575136j, 0.0255284-0.0507068j, 8.06054e-05-0.059499j, -0.0173873-0.0497677j, -0.0327125-0.0352593j, -0.0368152-0.00120716j, -0.0208107+0.0200529j, -0.0103628+0.0248048j, -0.00630649+0.0169108j, 0.00378677+0.0033355j, 0.00541396-0.0139424j, 0.00588908-0.0155292j, 0.00905257-0.00444685j, 0.00600806+0.00555237j, 0.00867231+0.00996763j, 0.0116104+0.0080616j, 0.0109962+0.00597601j, 0.00488982+0.00344506j, -0.00761657+0.000435058j, -0.0177375+0.00810773j, -0.0111665+0.00886523j, 0.00703945+0.00533616j, 0.0263634-0.00676855j, 0.0283597-0.0298325j, 0.0159017-0.0341629j, 0.0040564-0.0307057j, -0.00624969-0.0243657j, -0.014004-0.0103545j, -0.00688363+0.0066318j, 0.00122884+0.0111326j, 0.00683807+0.00640293j, 0.0123686-0.00580147j, 0.0145958-0.015444j, 0.0188629-0.0111861j, 0.0213351-0.0110926j, 0.0242857-0.0189123j, 0.0181756-0.0351222j, 0.00416016-0.0385923j, 0.00118795-0.0312453j, -0.0035369-0.021486j, -0.000851364-0.00274567j, 0.0117536+0.0129405j, 0.0189631+0.0155213j, 0.0270299+0.012073j, 0.031392+0.00405601j, 0.027674-0.0152469j, 0.0100999-0.0200407j, -0.00453482-0.0178565j, -0.0216953-0.00945881j, -0.0304836+0.00307818j, -0.0216749+0.0153996j, -0.00630635+0.00752694j, 0.00624295-0.000193216j, 0.0132404-0.00798786j, 0.00420413-0.0137427j, -0.00585575-0.00852581j, -0.00843102-0.00188901j, -0.00593952+0.00389323j, -0.00503502+0.00712365j, -0.00946318+0.00537952j, -0.0147433+0.00216011j, -0.0157163+0.00346476j, -0.0117907+0.00108021j, 0.00112321-0.00210362j, 0.0131192-0.006084j, 0.0162226-0.00809795j, 0.0103432-0.00902599j, -0.00196733-0.00599973j, -0.00431913-0.000854629j, 0.00231706+0.00667822j, 0.00813888+0.00547747j, 0.0142433+0.00346071j, 0.0115998-0.00681968j, 0.000897207-0.00952514j, -0.00792327-0.00565087j, -0.0122285-0.00476576j, -0.00875046-0.00578643j, 0.00831951-0.00380054j, 0.0170976+0.00410329j, 0.0229464+0.0090368j, 0.0264161+0.00707208j, 0.0158887+0.00186404j, 0.00285172-0.00475211j, -0.00273983-0.0114278j, -0.00887472-0.0169437j, -0.0166388-0.00994754j, -0.0167807+0.00547757j, -0.0162804+0.0168601j, -0.012076+0.0224989j, 0.00486799+0.0168271j, 0.0200482+0.00482046j, 0.0244618-0.00326977j, 0.0216506-0.0124789j, 0.0127933-0.0212547j, -0.00443025-0.0221771j, -0.00840289-0.0100043j, -0.00982777-0.00283506j, -0.0121712+0.00197657j, -0.0180291+0.0140526j, -0.019246+0.0217253j, -0.0151916+0.0232623j, -0.00741116+0.021853j, 0.00862075+0.0225506j, 0.0166556+0.0089822j, 0.016061+0.000443926j, 0.0152643-0.00434174j, 0.0208507-0.010282j, 0.0178232-0.0123673j, 0.0121776-0.00819639j, 0.00182801-0.00394543j, -0.00890543-0.00551501j, -0.0169669-0.00656098j, -0.0201645-0.0074703j, -0.0116135-0.0125415j, -0.00159536-0.021509j, 0.00404621-0.0359511j, -0.00655394-0.0511702j, -0.00694938-0.0443044j, -0.00233371-0.0291649j, -4.30893e-05-0.0118897j, 0.00217454+0.00515777j, 0.000622228+0.00953266j, -0.00338411+0.00332519j, -0.00614224-0.00857j, -0.00605845-0.0139163j, -0.00247257-0.00583795j, 0.00721852+0.00664846j, 0.0106156+0.0114134j, 0.0114706+0.0101184j, 0.00667163-0.00589527j, -0.00099476-0.0166691j, -0.00246806-0.00919043j, 0.00359417+0.00429361j, 0.0193498+0.0166058j, 0.0303719+0.00968546j, 0.0225373+0.00100595j, 0.0117443-0.0122345j, -0.000880498-0.027895j, -0.0221216-0.0357282j, -0.0272555-0.0226891j, -0.0242941-0.00967172j, -0.0173008-0.00229225j, -0.00697249+0.000595313j, 0.0041829-0.00785847j, 0.00407024-0.0137217j, -0.0050795-0.0162342j, -0.0131195-0.0162004j, -0.0160967-0.0089844j, -0.00863146-0.00528121j, -0.0052239+0.000408226j, 0.0042559+0.00861463j, 0.0153667+0.0097181j, 0.0133312+0.00650292j, 0.00282739+0.00123259j
